PLAYERPLAYER,AB,BB,SO,SB,CS,AVG,BBBB/(ABAB+BBBB),SOSO/(ABAB+BBBB),(SBSB+CSCS)/(ABAB+BBBB),SBSB/(SBSB+CSCS),__sheet__
1BarryB BondsBondsLF1???,9847,2558,1539,514,141,0.298,0.206207175,0.124062878,0.05280129,0.784732824,csv
2HankH AaronAaronRF2???,12364,1403,1383,240,73,0.305,0.101910365,0.100457616,0.022735527,0.766773163,csv
3BabeB RuthRuthRF3???,8399,2062,1330,123,117,0.342,0.197113087,0.127138897,0.022942357,0.5125,csv
4AlbertA PujolsPujols1B4???,11421,1373,1404,117,43,0.296,0.107315929,0.10973894,0.012505862,0.73125,csv
5AlexA RodriguezRodriguezSS5???,10566,1338,2287,329,76,0.295,0.112399194,0.192120296,0.034022177,0.812345679,csv
6WillieW MaysMaysCF6???,10924,1468,1526,339,103,0.301,0.118463525,0.123143964,0.035668173,0.766968326,csv
7KenK GriffeyGriffeyCF7???,9801,1312,1779,184,69,0.284,0.11805993,0.160082786,0.02276613,0.727272727,csv
8JimJ ThomeThome1B8???,8422,1747,2548,19,20,0.276,0.171796637,0.250565444,0.003835185,0.487179487,csv
9SammyS SosaSosaRF9???,8813,929,2306,234,107,0.273,0.095360296,0.236707042,0.035003079,0.686217009,csv
10FrankF RobinsonRobinsonRF10???,10006,1420,1532,204,77,0.294,0.124277963,0.134080168,0.024593033,0.725978648,csv
11MarkM McGwireMcGwire1B11???,6187,1317,1596,12,8,0.263,0.175506397,0.212686567,0.002665245,0.6,csv
12HarmonH KillebrewKillebrew1B12???,8147,1559,1699,19,18,0.256,0.160622295,0.175046363,0.003812075,0.513513514,csv
13RafaelR PalmeiroPalmeiro1B13???,10472,1353,1348,97,40,0.288,0.114418605,0.113995772,0.011585624,0.708029197,csv
14ReggieR JacksonJacksonRF14???,9864,1375,2597,228,115,0.262,0.122341845,0.23107038,0.030518729,0.664723032,csv
15MannyM RamirezRamirezLF15???,8244,1329,1813,38,33,0.312,0.138827954,0.189386817,0.007416693,0.535211268,csv
16MikeM SchmidtSchmidt3B16???,8352,1507,1883,174,91,0.267,0.152855259,0.190993001,0.026878994,0.656603774,csv
17DavidD OrtizOrtizDH17???,8640,1319,1750,17,9,0.286,0.132443016,0.175720454,0.002610704,0.653846154,csv
18MickeyM MantleMantleCF18???,8102,1733,1710,153,38,0.298,0.176207422,0.173868836,0.019420437,0.80104712,csv
