PLAYERPLAYER,G,AB,R ,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,,,,
1BarryB BondsBondsLF1???,2986,9847,2227,2935,601,77,762,1996,2558,1539,514,141,0.298,0.444,0.607,1.051,0.206207175,0.124062878,0.0528012898,0.784732824
2HankH AaronAaronRF2???,3298,12364,2174,3771,624,98,755,2297,1403,1383,240,73,0.305,0.374,0.555,0.929,0.101910365,0.100457616,0.022735527,0.766773163
3BabeB RuthRuthRF3???,2504,8399,2174,2873,506,136,714,2213,2062,1330,123,117,0.342,0.474,0.69,1.164,0.197113087,0.127138897,0.0229423573,0.5125
4AlbertA PujolsPujols1B4???,3080,11421,1914,3384,686,16,703,2218,1373,1404,117,43,0.296,0.374,0.544,0.918,0.107315929,0.10973894,0.0125058621,0.73125
5AlexA RodriguezRodriguezSS5???,2784,10566,2021,3115,548,31,696,2086,1338,2287,329,76,0.295,0.38,0.55,0.93,0.112399194,0.192120296,0.0340221774,0.812345679
6WillieW MaysMaysCF6???,3005,10924,2068,3293,525,141,660,1909,1468,1526,339,103,0.301,0.384,0.557,0.941,0.118463525,0.123143964,0.035668173,0.766968326
7KenK GriffeyGriffeyCF7???,2671,9801,1662,2781,524,38,630,1836,1312,1779,184,69,0.284,0.37,0.538,0.908,0.11805993,0.160082786,0.0227661298,0.727272727
8JimJ ThomeThome1B8???,2543,8422,1583,2328,451,26,612,1699,1747,2548,19,20,0.276,0.402,0.554,0.956,0.171796637,0.250565444,0.00383518537,0.487179487
9SammyS SosaSosaRF9???,2354,8813,1475,2408,379,45,609,1667,929,2306,234,107,0.273,0.344,0.534,0.878,0.0953602956,0.236707042,0.0350030794,0.686217009
10FrankF RobinsonRobinsonRF10???,2808,10006,1829,2943,528,72,586,1812,1420,1532,204,77,0.294,0.389,0.537,0.926,0.124277963,0.134080168,0.0245930334,0.725978648
11MarkM McGwireMcGwire1B11???,1874,6187,1167,1626,252,6,583,1414,1317,1596,12,8,0.263,0.394,0.588,0.982,0.175506397,0.212686567,0.0026652452,0.6
12HarmonH KillebrewKillebrew1B12???,2435,8147,1283,2086,290,24,573,1584,1559,1699,19,18,0.256,0.376,0.509,0.885,0.160622295,0.175046363,0.00381207501,0.513513514
13RafaelR PalmeiroPalmeiro1B13???,2831,10472,1663,3020,585,38,569,1834,1353,1348,97,40,0.288,0.371,0.515,0.886,0.114418605,0.113995772,0.0115856237,0.708029197
14ReggieR JacksonJacksonRF14???,2820,9864,1551,2584,463,49,563,1702,1375,2597,228,115,0.262,0.356,0.49,0.846,0.122341845,0.23107038,0.0305187294,0.664723032
15MannyM RamirezRamirezLF15???,2302,8244,1544,2574,547,20,555,1831,1329,1813,38,33,0.312,0.411,0.585,0.996,0.138827954,0.189386817,0.00741669278,0.535211268
16MikeM SchmidtSchmidt3B16???,2404,8352,1506,2234,408,59,548,1595,1507,1883,174,91,0.267,0.38,0.527,0.907,0.152855259,0.190993001,0.0268789938,0.656603774
17DavidD OrtizOrtizDH17???,2408,8640,1419,2472,632,19,541,1768,1319,1750,17,9,0.286,0.38,0.552,0.932,0.132443016,0.175720454,0.00261070389,0.653846154
18MickeyM MantleMantleCF18???,2401,8102,1677,2415,344,72,536,1509,1733,1710,153,38,0.298,0.421,0.557,0.978,0.176207422,0.173868836,0.0194204372,0.80104712
19JimmieJ FoxxFoxx1B19???,2317,8134,1751,2646,458,125,534,1922,1452,1311,87,72,0.325,0.428,0.609,1.037,0.151470895,0.136761945,0.0165866889,0.547169811
20WillieW McCoveyMcCovey1B20???,2588,8197,1229,2211,353,46,521,1555,1345,1550,26,22,0.27,0.374,0.515,0.889,0.140955774,0.16243974,0.00503039195,0.541666667
20FrankF ThomasThomasDH20???,2322,8199,1494,2468,495,12,521,1704,1667,1397,32,23,0.301,0.419,0.555,0.974,0.168964119,0.141597405,0.00557470099,0.581818182
20TedT WilliamsWilliamsLF20???,2292,7706,1798,2654,525,71,521,1839,2019,709,24,17,0.344,0.482,0.634,1.116,0.207609254,0.0729048843,0.0042159383,0.585365854
23ErnieE BanksBanks1B23???,2528,9421,1305,2583,407,90,512,1636,763,1236,50,53,0.274,0.33,0.5,0.83,0.0749214454,0.12136685,0.0101139042,0.485436893
23EddieE MathewsMathews3B23???,2391,8537,1509,2315,354,72,512,1453,1444,1487,68,39,0.271,0.376,0.509,0.885,0.144674882,0.148983068,0.0107203687,0.635514019
25MiguelM CabreraCabrera1B25???,2797,10356,1551,3174,627,17,511,1881,1258,2105,40,21,0.306,0.382,0.518,0.9,0.108317548,0.181246771,0.00525228173,0.655737705
25MelM OttOttRF25???,2730,9456,1859,2876,488,72,511,1860,1708,896,89,--,0.304,0.414,0.533,0.947,0.152991759,0.0802579721,#VALUE!,#VALUE!
27GaryG SheffieldSheffieldRF27???,2576,9217,1636,2689,467,27,509,1676,1475,1171,253,104,0.292,0.393,0.514,0.907,0.13795361,0.109521137,0.0333894501,0.708683473
28EddieE MurrayMurray1B28???,3026,11336,1627,3255,560,35,504,1917,1333,1516,110,43,0.287,0.359,0.476,0.835,0.10521746,0.119662167,0.0120767227,0.718954248
29LouL GehrigGehrig1B29???,2164,8001,1888,2721,534,163,493,1995,1508,790,102,101,0.34,0.447,0.632,1.079,0.158586602,0.0830791881,0.0213481964,0.502463054
29FredF McGriffMcGriff1B29???,2460,8757,1349,2490,441,24,493,1550,1305,1882,72,38,0.284,0.377,0.509,0.886,0.129695886,0.18704035,0.0109322202,0.654545455
31AdrianA Beltr?Beltr?3B31???,2933,11068,1524,3166,636,38,477,1707,848,1732,121,42,0.286,0.339,0.48,0.819,0.0711648204,0.145350789,0.0136790869,0.742331288
32StanS MusialMusialOF32???,3026,10972,1949,3630,725,177,475,1951,1599,696,78,31,0.331,0.417,0.559,0.976,0.127197518,0.0553655238,0.00867075014,0.71559633
32WillieW StargellStargellLF32???,2360,7927,1195,2232,423,55,475,1540,937,1936,17,16,0.282,0.36,0.529,0.889,0.105708484,0.218411552,0.00372292419,0.515151515
34CarlosC DelgadoDelgado1B34???,2035,7283,1241,2038,483,18,473,1512,1109,1745,14,8,0.28,0.383,0.546,0.929,0.132149666,0.20793613,0.00262154433,0.636363636
35ChipperC JonesJones3B35???,2499,8984,1619,2726,549,38,468,1623,1512,1409,150,46,0.303,0.401,0.529,0.93,0.144054878,0.134241616,0.0186737805,0.765306122
36DaveD WinfieldWinfieldRF36???,2973,11003,1669,3110,540,88,465,1833,1216,1686,223,96,0.283,0.353,0.475,0.828,0.0995171454,0.137981832,0.0261068827,0.699059561
37NelsonN CruzCruzDH37???,2055,7501,1090,2053,372,15,464,1325,738,1916,84,32,0.274,0.343,0.513,0.856,0.0895739774,0.232552494,0.0140793786,0.724137931
38AdamA DunnDunnLF38???,2001,6883,1097,1631,334,10,462,1168,1317,2379,63,25,0.237,0.364,0.49,0.854,0.160609756,0.290121951,0.0107317073,0.715909091
38JoseJ CansecoCansecoRF38???,1887,7057,1186,1877,340,14,462,1407,906,1942,200,88,0.266,0.353,0.515,0.868,0.113776215,0.243877935,0.0361672736,0.694444444
40CarlC YastrzemskiYastrzemskiLF40???,3308,11988,1816,3419,646,59,452,1844,1845,1393,168,116,0.285,0.379,0.462,0.841,0.133376708,0.100701222,0.0205306152,0.591549296
41JeffJ BagwellBagwell1B41???,2150,7797,1517,2314,488,32,449,1529,1401,1558,202,78,0.297,0.408,0.54,0.948,0.152315721,0.169384649,0.0304414003,0.721428571
41VladimirV GuerreroGuerreroRF41???,2147,8155,1328,2590,477,46,449,1496,737,985,181,94,0.318,0.379,0.553,0.932,0.0828834908,0.110773729,0.0309266757,0.658181818
43GiancarloG StantonStantonDH43???,1700,6188,934,1602,311,11,446,1149,795,2019,42,15,0.259,0.346,0.529,0.875,0.113847916,0.289130746,0.0081626808,0.736842105
44DaveD KingmanKingman1B44???,1941,6677,901,1575,240,25,442,1210,608,1816,85,49,0.236,0.302,0.478,0.78,0.0834591627,0.249279341,0.0183939602,0.634328358
45JasonJ GiambiGiambi1B45???,2260,7267,1227,2010,405,9,440,1441,1366,1572,20,12,0.277,0.399,0.516,0.915,0.158230047,0.182091973,0.00370670682,0.625
46PaulP KonerkoKonerko1B46???,2349,8393,1162,2340,410,8,439,1412,921,1391,9,4,0.279,0.354,0.486,0.84,0.0988834013,0.149345072,0.00139574834,0.692307692
47AndreA DawsonDawsonRF47???,2627,9927,1373,2774,503,98,438,1591,589,1509,314,109,0.279,0.323,0.482,0.805,0.0560098897,0.143495626,0.0402244199,0.742316785
48CarlosC Beltr?nBeltr?nCF48???,2586,9768,1582,2725,565,78,435,1587,1084,1795,312,49,0.279,0.35,0.486,0.836,0.0998894213,0.165407298,0.0332657575,0.864265928
49AndruwA JonesJonesCF49???,2196,7599,1204,1933,383,36,434,1289,891,1748,152,59,0.254,0.337,0.486,0.823,0.104946996,0.205889282,0.024852768,0.720379147
