PLAYERPLAYER,ABAB,BBBB,SOSO,SBSB,CSCS,AVGAVG,BBBB/(ABAB+BBBB),SOSO/(ABAB+BBBB),(SBSB+CSCS)/(ABAB+BBBB),SBSB/(SBSB+CSCS),__sheet__
75OrlandoO CepedaCepeda1B75???,7927,588,1169,142,80,0.297,0.06905461,0.13728714,0.026071638,0.63963964,Sheet1
77MattM WilliamsWilliams3B77???,7000,469,1363,53,35,0.268,0.062792877,0.182487615,0.011782032,0.602272727,Sheet1
78NormN CashCash1B78???,6705,1043,1091,43,30,0.271,0.134615385,0.140810532,0.009421786,0.589041096,Sheet1
78JeffJ KentKent2B78???,8498,801,1522,94,60,0.29,0.086138294,0.163673513,0.016560921,0.61038961,Sheet1
80CarltonC FiskFiskC80???,8756,849,1386,128,58,0.269,0.088391463,0.144299844,0.019364914,0.688172043,Sheet1
81RockyR ColavitoColavitoRF81???,6503,951,880,19,27,0.266,0.127582506,0.118057419,0.006171183,0.413043478,Sheet1
82PaulP GoldschmidtGoldschmidt1B82???,7545,1082,1966,174,36,0.289,0.125420192,0.227889185,0.024342182,0.828571429,Sheet1
83GilG HodgesHodges1B83???,7030,943,1137,63,31,0.273,0.118274175,0.142606296,0.011789791,0.670212766,Sheet1
84RalphR KinerKinerLF84???,5205,1011,749,22,2,0.279,0.162644788,0.120495495,0.003861004,0.916666667,Sheet1
84ToddT HeltonHelton1B84???,7962,1335,1175,37,29,0.316,0.143594708,0.126384855,0.007099064,0.560606061,Sheet1
86LanceL BerkmanBerkman1B86???,6491,1201,1300,86,48,0.293,0.156136245,0.16900676,0.017420697,0.641791045,Sheet1
87MannyM MachadoMachado3B87???,7323,656,1403,111,41,0.28,0.082215817,0.175836571,0.019050006,0.730263158,Sheet1
88JoeJ DiMaggioDiMaggioCF88???,6821,790,369,30,9,0.325,0.103797136,0.04848246,0.005124162,0.769230769,Sheet1
88FreddieF FreemanFreeman1B88???,8009,1059,1744,102,32,0.3,0.116784296,0.192324658,0.014777239,0.76119403,Sheet1
90GaryG GaettiGaetti3B90???,8951,634,1602,96,65,0.255,0.066145018,0.16713615,0.016797079,0.596273292,Sheet1
91JohnnyJ MizeMize1B91???,6443,856,524,28,1,0.312,0.117276339,0.071790656,0.003973147,0.965517241,Sheet1
92YogiY BerraBerraC92???,7555,704,414,30,26,0.285,0.085240344,0.050127134,0.006780482,0.535714286,Sheet1
92CarlosC LeeLeeLF92???,7983,655,984,125,47,0.285,0.075827738,0.113915258,0.019912017,0.726744186,Sheet1
94BryceB HarperHarper1B94???,6331,1089,1629,151,52,0.281,0.146765499,0.219541779,0.027358491,0.743842365,Sheet1
95JoeyJ VottoVotto1B95???,7252,1365,1640,80,29,0.294,0.158407799,0.190321458,0.012649414,0.733944954,Sheet1
96AaronA JudgeJudgeRF96???,4006,784,1349,61,19,0.292,0.163674322,0.281628392,0.016701461,0.7625,Sheet1
96GregG VaughnVaughnLF96???,6103,865,1513,121,59,0.242,0.124138921,0.217135476,0.025832377,0.672222222,Sheet1
98LeeL MayMay1B98???,7609,487,1569,39,35,0.267,0.060153162,0.193799407,0.009140316,0.527027027,Sheet1
98LuisL GonzalezGonzalezLF98???,9157,1155,1218,128,87,0.283,0.112005431,0.118114818,0.020849496,0.595348837,Sheet1
100ToriiT HunterHunterCF100???,8857,661,1741,195,99,0.277,0.069447363,0.182916579,0.030888842,0.663265306,Sheet1
348RandalR GrichukGrichukRF348???,4453,272,1183,27,19,0.251,0.057566138,0.25037037,0.00973545,0.586956522,Sheet1
348KevinK McReynoldsMcReynoldsLF348???,5423,522,707,93,32,0.265,0.087804878,0.118923465,0.021026072,0.744,Sheet1
353RicoR PetrocelliPetrocelliSS353???,5390,661,926,10,22,0.251,0.109238142,0.153032557,0.005288382,0.3125,Sheet1
353RobertoR AlomarAlomar2B353???,9073,1032,1140,474,114,0.3,0.10212766,0.112815438,0.058189015,0.806122449,Sheet1
353BradyB AndersonAndersonRF353???,6499,960,1190,315,100,0.256,0.12870358,0.159538812,0.055637485,0.759036145,Sheet1
353WallyW PostPostRF353???,4007,331,813,19,13,0.266,0.076302444,0.187413555,0.007376671,0.59375,Sheet1
357JoeyJ GalloGallo1B357???,2869,497,1292,33,10,0.194,0.147653001,0.383838384,0.012774807,0.76744186,Sheet1
357DevonD WhiteWhiteCF357???,7344,541,1526,346,98,0.263,0.068611287,0.193532023,0.056309448,0.779279279,Sheet1
